id,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults
19219,0.25,0.02,0.0,0.0,0.04,0.14,0.49
19220,0.29,0.05,0.01,0.0,0.18,0.25,0.32
19221,0.0,0.11,0.05,0.0,0.01,0.25,0.4
19222,0.19,0.03,0.0,0.0,0.01,0.46,0.53
19223,0.0,0.05,0.0,0.0,0.0,0.47,0.44
19224,0.28,0.46,0.0,0.0,0.08,0.3,0.3
19225,0.32,0.0,0.0,0.0,0.03,0.04,0.51
19226,0.02,0.17,0.0,0.0,0.04,0.3,0.45
19227,0.0,0.23,0.18,0.0,0.0,0.12,0.45
19228,0.36,0.01,0.0,0.0,0.01,0.29,0.36
19229,0.0,0.01,0.0,0.0,0.02,0.38,0.41
19230,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19231,0.0,0.0,1.0,0.0,0.0,0.0,0.03
19232,0.16,0.19,0.0,0.0,0.06,0.08,0.53
19233,0.0,0.01,0.0,0.0,0.01,0.44,0.41
19234,0.0,0.01,0.0,0.0,0.01,0.36,0.5
19235,0.09,0.02,0.0,0.0,0.0,0.59,0.27
19236,0.11,0.04,0.05,0.0,0.17,0.29,0.42
19237,0.15,0.0,0.0,0.0,0.01,0.55,0.24
19238,0.0,0.52,0.0,0.01,0.0,0.3,0.37
19239,0.0,0.0,0.77,0.0,0.0,0.0,0.15
19240,0.04,0.01,0.0,0.0,0.0,0.25,0.49
19241,0.0,0.0,0.0,0.01,0.01,0.47,0.46
19242,0.0,0.0,0.88,0.0,0.0,0.0,0.03
19243,0.16,0.34,0.04,0.0,0.01,0.44,0.34
19244,0.0,0.0,0.98,0.0,0.0,0.0,0.0
19245,0.13,0.04,0.0,0.0,0.01,0.16,0.5
19246,0.33,0.04,0.01,0.0,0.0,0.18,0.36
19247,0.04,0.21,0.11,0.0,0.02,0.2,0.37
19248,0.0,0.01,0.86,0.0,0.0,0.01,0.21
19249,0.02,0.05,0.0,0.0,0.01,0.51,0.45
19250,0.02,0.0,0.0,0.81,0.0,0.03,0.14
19251,0.07,0.0,0.0,0.0,0.02,0.65,0.27
19252,0.0,0.32,0.0,0.0,0.0,0.45,0.26
19253,0.01,0.0,0.61,0.01,0.0,0.05,0.3
19254,0.0,0.11,0.0,0.0,0.01,0.33,0.46
19255,0.36,0.0,0.0,0.0,0.0,0.2,0.44
19256,0.02,0.68,0.0,0.0,0.0,0.27,0.18
19257,0.11,0.02,0.02,0.0,0.09,0.23,0.42
19258,0.33,0.01,0.0,0.0,0.0,0.22,0.43
19259,0.0,0.0,0.98,0.0,0.0,0.0,0.01
19260,0.08,0.18,0.0,0.0,0.1,0.36,0.32
19261,0.13,0.01,0.48,0.0,0.13,0.07,0.31
19262,0.12,0.02,0.0,0.0,0.01,0.25,0.33
19263,0.04,0.0,0.0,0.0,0.03,0.46,0.33
19264,0.0,0.01,0.0,0.0,0.0,0.59,0.32
19265,0.11,0.02,0.0,0.01,0.02,0.43,0.52
19266,0.0,0.0,0.95,0.0,0.0,0.0,0.1
19267,0.18,0.01,0.0,0.0,0.05,0.33,0.46
19268,0.01,0.14,0.0,0.0,0.0,0.24,0.77
19269,0.0,0.0,0.93,0.0,0.0,0.0,0.02
19270,0.16,0.01,0.0,0.0,0.68,0.01,0.4
19271,0.01,0.02,0.08,0.0,0.03,0.34,0.45
19272,0.39,0.05,0.02,0.0,0.26,0.35,0.41
19273,0.0,0.0,0.0,0.03,0.01,0.59,0.45
19274,0.0,0.0,0.0,0.0,0.02,0.53,0.35
19275,0.04,0.0,0.07,0.0,0.02,0.53,0.29
